method,seed,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
active_probe_planner,0,0.640625,0.519379,0.200315,0.189731,0.081676,0.310591,0.076679,0.110998,0.158885,0.183146,0.166971,0.140704,0.030368,0.001695,0.000942,0.000841,0.000353,0.000497,0.000382,0.000654,0.000585,0.000772,0.000665,0.030876,960
active_probe_planner,1,0.637500,0.519204,0.200660,0.189866,0.081579,0.310737,0.076708,0.110792,0.158632,0.183125,0.166628,0.137343,0.030426,0.001680,0.000940,0.000837,0.000349,0.000504,0.000386,0.000651,0.000602,0.000782,0.000662,0.030794,960
active_probe_planner,2,0.592708,0.518753,0.200569,0.189373,0.081567,0.310714,0.076630,0.110765,0.158542,0.182900,0.166456,0.092990,0.031097,0.001662,0.000922,0.000835,0.000353,0.000501,0.000378,0.000658,0.000584,0.000759,0.000648,0.031343,960
active_probe_planner,3,0.636458,0.519051,0.200328,0.189594,0.081688,0.310678,0.076779,0.110735,0.158584,0.182963,0.166616,0.136674,0.030445,0.001670,0.000919,0.000840,0.000351,0.000523,0.000382,0.000668,0.000592,0.000780,0.000656,0.030620,960
active_probe_planner,4,0.596875,0.519603,0.200686,0.189372,0.081501,0.310547,0.076450,0.110579,0.158651,0.183161,0.166617,0.097523,0.031046,0.001676,0.000914,0.000842,0.000342,0.000492,0.000391,0.000653,0.000601,0.000795,0.000672,0.031322,960
active_probe_planner,5,0.570833,0.519369,0.200825,0.189382,0.081740,0.310837,0.076861,0.110982,0.158466,0.182909,0.166421,0.070744,0.031327,0.001654,0.000940,0.000834,0.000358,0.000501,0.000377,0.000666,0.000582,0.000758,0.000665,0.031827,960
active_probe_planner,6,0.607292,0.519090,0.200602,0.189538,0.081650,0.310920,0.076585,0.110977,0.158478,0.182776,0.166440,0.107403,0.030909,0.001646,0.000917,0.000844,0.000345,0.000503,0.000384,0.000667,0.000593,0.000782,0.000652,0.031284,960
active_probe_planner,7,0.616667,0.519480,0.200959,0.189555,0.081624,0.310746,0.076655,0.111032,0.158589,0.182835,0.166698,0.116529,0.030772,0.001643,0.000921,0.000842,0.000349,0.000505,0.000392,0.000670,0.000590,0.000770,0.000661,0.031176,960
active_probe_planner,8,0.579167,0.518784,0.200551,0.189574,0.081676,0.310906,0.076612,0.110681,0.158644,0.182817,0.166471,0.079109,0.031247,0.001634,0.000915,0.000855,0.000357,0.000517,0.000376,0.000671,0.000578,0.000761,0.000659,0.031604,960
active_probe_planner,9,0.596875,0.518853,0.200256,0.189684,0.081909,0.310790,0.076777,0.110665,0.158661,0.183028,0.166618,0.096718,0.031046,0.001667,0.000925,0.000829,0.000348,0.000504,0.000395,0.000676,0.000585,0.000773,0.000662,0.031339,960
causal_query_repair,0,0.636458,0.551618,0.178122,0.174072,0.075736,0.281757,0.072920,0.129079,0.143308,0.170935,0.149656,0.203401,0.030445,0.001567,0.000901,0.000833,0.000345,0.000463,0.000376,0.000712,0.000566,0.000751,0.000632,0.030786,960
